"","Package","Version"
"abind","abind","1.4-5"
"acepack","acepack","1.4.1"
"ade4","ade4","1.7-15"
"adegenet","adegenet","2.1.3"
"adegraphics","adegraphics","1.0-15"
"adephylo","adephylo","1.1-11"
"adespatial","adespatial","0.3-8"
"ADGofTest","ADGofTest","0.3"
"afex","afex","0.27-2"
"akima","akima","0.6-2.1"
"alignfigR","alignfigR","0.1.1"
"amap","amap","0.8-18"
"animation","animation","2.6"
"anytime","anytime","0.3.7"
"ape","ape","5.4"
"apex","apex","1.0.4"
"arrangements","arrangements","1.1.8"
"askpass","askpass","1.1"
"assertthat","assertthat","0.2.1"
"automap","automap","1.0-14"
"backports","backports","1.1.8"
"base","base","4.0.0"
"base64enc","base64enc","0.1-3"
"bayesm","bayesm","3.1-4"
"bayestestR","bayestestR","0.7.0"
"bda","bda","14.3.19"
"BDgraph","BDgraph","2.62"
"beeswarm","beeswarm","0.2.3"
"betapart","betapart","1.5.1"
"BH","BH","1.72.0-3"
"bigmemory","bigmemory","4.5.36"
"bigmemory.sri","bigmemory.sri","0.1.3"
"bindr","bindr","0.1.1"
"bindrcpp","bindrcpp","0.2.2"
"bio3d","bio3d","2.4-1"
"Biobase","Biobase","2.48.0"
"BiocGenerics","BiocGenerics","0.34.0"
"BiocManager","BiocManager","1.30.10"
"BiocParallel","BiocParallel","1.22.0"
"BiocVersion","BiocVersion","3.11.1"
"biomartr","biomartr","0.9.2"
"Biostrings","Biostrings","2.56.0"
"bit","bit","1.1-15.2"
"bit64","bit64","0.9-7"
"bitops","bitops","1.0-6"
"blob","blob","1.2.1"
"bookdown","bookdown","0.20"
"boot","boot","1.3-25"
"brew","brew","1.0-6"
"broom","broom","0.5.6"
"Cairo","Cairo","1.5-12"
"calibrate","calibrate","1.7.7"
"callr","callr","3.4.3"
"car","car","3.0-8"
"carData","carData","3.0-4"
"caroline","caroline","0.7.6"
"cartomisc","cartomisc","0.0.0.9000"
"caTools","caTools","1.18.0"
"cellranger","cellranger","1.1.0"
"checkmate","checkmate","2.0.0"
"class","class","7.3-17"
"classInt","classInt","0.4-3"
"cli","cli","2.0.2"
"clipr","clipr","0.7.0"
"clisymbols","clisymbols","1.2.0"
"cluster","cluster","2.1.0"
"clusterGeneration","clusterGeneration","1.3.4"
"coda","coda","0.19-3"
"CodeDepends","CodeDepends","0.6.5"
"codetools","codetools","0.2-16"
"colorspace","colorspace","1.4-1"
"colourpicker","colourpicker","1.0"
"colourvalues","colourvalues","0.3.5"
"combinat","combinat","0.0-8"
"commonmark","commonmark","1.7"
"compare","compare","0.2-6"
"compiler","compiler","4.0.0"
"compositions","compositions","1.40-5"
"conStruct","conStruct","1.0.4"
"copula","copula","1.0-0"
"corpcor","corpcor","1.6.9"
"corrplot","corrplot","0.84"
"covr","covr","3.5.0"
"cowplot","cowplot","1.0.0"
"crayon","crayon","1.3.4"
"crosstalk","crosstalk","1.1.0.1"
"curl","curl","4.3"
"cyclocomp","cyclocomp","1.1.0"
"d3Network","d3Network","0.5.2.1"
"dabestr","dabestr","0.2.5"
"dada2","dada2","1.16.0"
"dartR","dartR","1.1.11"
"data.table","data.table","1.12.8"
"data.tree","data.tree","0.7.11"
"datapasta","datapasta","3.1.0"
"datasets","datasets","4.0.0"
"DBI","DBI","1.1.0"
"dbplyr","dbplyr","1.4.4"
"DelayedArray","DelayedArray","0.14.0"
"deldir","deldir","0.1-25"
"dendextend","dendextend","1.13.4"
"DEoptimR","DEoptimR","1.0-8"
"desc","desc","1.2.0"
"devtools","devtools","2.3.0"
"diagram","diagram","1.6.4"
"DiagrammeR","DiagrammeR","1.0.6.1"
"dichromat","dichromat","2.0-0"
"digest","digest","0.6.25"
"diptest","diptest","0.75-7"
"directlabels","directlabels","2020.6.17"
"dismo","dismo","1.1-4"
"diveRsity","diveRsity","1.9.90"
"doParallel","doParallel","1.0.15"
"dotCall64","dotCall64","1.0-0"
"downloader","downloader","0.4"
"dplyr","dplyr","1.0.0"
"DT","DT","0.14"
"e1071","e1071","1.7-3"
"effectsize","effectsize","0.3.1"
"elevatr","elevatr","0.2.0"
"ellipse","ellipse","0.4.2"
"ellipsis","ellipsis","0.3.1"
"emmeans","emmeans","1.4.8"
"energy","energy","1.7-7"
"equatiomatic","equatiomatic","0.0.0.9000"
"estimability","estimability","1.3"
"evaluate","evaluate","0.14"
"expm","expm","0.999-4"
"factoextra","factoextra","1.0.7"
"FactoMineR","FactoMineR","2.3"
"fansi","fansi","0.4.1"
"farver","farver","2.0.3"
"fastmap","fastmap","1.0.1"
"fastmatch","fastmatch","1.1-0"
"fastqcr","fastqcr","0.1.2"
"fdrtool","fdrtool","1.2.15"
"fields","fields","10.3"
"flashClust","flashClust","1.01-2"
"flexmix","flexmix","2.3-15"
"flextable","flextable","0.5.10"
"FNN","FNN","1.1.3"
"forcats","forcats","0.5.0"
"foreach","foreach","1.5.0"
"forecast","forecast","8.12"
"foreign","foreign","0.8-80"
"formatR","formatR","1.7"
"Formula","Formula","1.2-3"
"fpc","fpc","2.2-7"
"fracdiff","fracdiff","1.5-1"
"fs","fs","1.4.1"
"fst","fst","0.9.2"
"futile.logger","futile.logger","1.4.3"
"futile.options","futile.options","1.0.1"
"future","future","1.17.0"
"GA","GA","3.2"
"gap","gap","1.2.2"
"gdalUtils","gdalUtils","2.0.3.2"
"gdata","gdata","2.18.0"
"gdistance","gdistance","1.3-1"
"gdsfmt","gdsfmt","1.24.1"
"gdtools","gdtools","0.2.2"
"genepop","genepop","1.1.7"
"genepopedit","genepopedit","1.0.0.6"
"generics","generics","0.0.2"
"genetics","genetics","1.3.8.1.2"
"GenomeInfoDb","GenomeInfoDb","1.24.2"
"GenomeInfoDbData","GenomeInfoDbData","1.2.3"
"GenomicAlignments","GenomicAlignments","1.24.0"
"GenomicRanges","GenomicRanges","1.40.0"
"geojsonsf","geojsonsf","2.0.0"
"geometry","geometry","0.4.5"
"geosphere","geosphere","1.5-10"
"getopt","getopt","1.20.3"
"GGally","GGally","2.0.0"
"ggbeeswarm","ggbeeswarm","0.6.0"
"ggdendro","ggdendro","0.1-20"
"ggeffects","ggeffects","0.15.0"
"ggExtra","ggExtra","0.9"
"ggforce","ggforce","0.3.2"
"ggimage","ggimage","0.2.8"
