vaucher,site,ng/ul,lat,lon
5120,"Gaitán, Murcia, ES",162,37.56181,-1.25927
5121,"Gaitán, Murcia, ES",14,37.56181,-1.25927
5122,"Valcárcel, Murcia, ES",65,37.98705,-1.12861
40282,"Tarifa, Cádiz, ES",184,36.01432,-5.60444
40283,"Tarifa, Cádiz, ES",176,36.01432,-5.60444
66306,"Benalup-Casas Viejas, Cádiz, ES",29,36.34318,-5.81664
66307,"Benalup-Casas Viejas, Cádiz, ES",16,36.34318,-5.81664
66308,"Benalup-Casas Viejas, Cádiz, ES",,36.34318,-5.81664
68301,"Tocha, Cantanhede, Coimbra, PT",74,40.32223,-8.77014
68302,"Tocha, Cantanhede, Coimbra, PT",,40.32223,-8.77014
68314,"Tocha, Cantanhede, Coimbra, PT",52,40.32223,-8.77014
106625,"Los Escoriales, Andújar, Jaén, ES",22,38.3734,-4.12515
106626,"Los Escoriales, Andújar, Jaén, ES",40,38.3734,-4.12515
106627,"Los Escoriales, Andújar, Jaén, ES",,38.3734,-4.12515
106628,"Los Escoriales, Andújar, Jaén, ES",,38.3734,-4.12515
106642,"Villanueva del Duque, Córdoba, ES",,38.39312,-4.99874
106643,"Villanueva del Duque, Córdoba, ES",132,38.39312,-4.99874
106644,"Villanueva del Duque, Córdoba, ES",80,38.39312,-4.99874
106645,"Villanueva del Duque, Córdoba, ES",,38.39312,-4.99874
106655,"El Pedroso, Sevilla, ES",44,37.84156,-5.76553
106656,"El Pedroso, Sevilla, ES",29,37.84156,-5.76553
106657,"El Pedroso, Sevilla, ES",57,37.84156,-5.76553
106659,"El Pedroso, Sevilla, ES",,37.84156,-5.76553
106697,"Sedas, Espirito, Mértelo, Beja, PT",,37.63629,-7.6647
106698,"Sedas, Espirito, Mértelo, Beja, PT",,37.63629,-7.6647
106699,"Sedas, Espirito, Mértelo, Beja, PT",53,37.63629,-7.6647
106700,"Sedas, Espirito, Mértelo, Beja, PT",142,37.63629,-7.6647
106718,"Boticos, Abela, Santiago do Cacém, Setúbal, PT",,38.00563,-8.50077
106719,"Boticos, Abela, Santiago do Cacém, Setúbal, PT",55,38.00563,-8.50077
106720,"Boticos, Abela, Santiago do Cacém, Setúbal, PT",46,38.00563,-8.50077
106721,"Boticos, Abela, Santiago do Cacém, Setúbal, PT",,38.00563,-8.50077
106741,"Évora, Évora, PT",0,38.57143,-7.9135
106806,"Burguillos del Cerro, Badajoz, ES",175,38.40445,-6.59969
106809,"Burguillos del Cerro, Badajoz, ES",,38.40445,-6.59969
106834,"Don Benito, Badajoz, ES",44,38.95446,-5.86189
106836,"Don Benito, Badajoz, ES",36,38.95446,-5.86189
106837,"Don Benito, Badajoz, ES",,38.95446,-5.86189
106838,"Don Benito, Badajoz, ES",,38.95446,-5.86189
106854,"Aldeaseca de Alba, Salamanca, ES",603,40.81898,-5.44764
106855,"Aldeaseca de Alba, Salamanca, ES",524,40.81898,-5.44764
106856,"Aldeaseca de Alba, Salamanca, ES",,40.81898,-5.44764
106857,"Aldeaseca de Alba, Salamanca, ES",,40.81898,-5.44764
106876,"Menasalbas, Toledo, ES",,39.64141,-4.28334
106877,"Menasalbas, Toledo, ES",63,39.64141,-4.28334
106878,"Menasalbas, Toledo, ES",81,39.64141,-4.28334
106879,"Menasalbas, Toledo, ES",116,39.64141,-4.28334
106899,"Malagón, Cuidad Real, ES",52,39.1668,-3.85313
106900,"Malagón, Cuidad Real, ES",133,39.1668,-3.85313
106901,"Malagón, Cuidad Real, ES",,39.1668,-3.85313
106902,"Malagón, Cuidad Real, ES",39,39.1668,-3.85313
106907,"Carpio de Azaba, Salamanca, ES",,40.59637,-6.6471
106908,"Carpio de Azaba, Salamanca, ES",55,40.59637,-6.6471
106909,"Carpio de Azaba, Salamanca, ES",54,40.59637,-6.6471
106910,"Carpio de Azaba, Salamanca, ES",,40.59637,-6.6471
106928,"Paramos, Espinho, Aveiro, PT",60,40.9725,-8.62603
106929,"Paramos, Espinho, Aveiro, PT",29,40.9725,-8.62603
106930,"Paramos, Espinho, Aveiro, PT",40,40.9725,-8.62603
106931,"Paramos, Espinho, Aveiro, PT",,40.9725,-8.62603
106949,"Doñana, Almonte, Huelva, ES",57,37.04272,-6.43444
106950,"Doñana, Almonte, Huelva, ES",94,37.04272,-6.43444
106951,"Doñana, Almonte, Huelva, ES",164,37.04272,-6.43444
106952,"Doñana, Almonte, Huelva, ES",,37.04272,-6.43444
106970,"O Grove, Pontevedra, ES",36,42.49599,-8.86514
106971,"O Grove, Pontevedra, ES",145,42.49599,-8.86514
106972,"O Grove, Pontevedra, ES",63,42.49599,-8.86514
106973,"O Grove, Pontevedra, ES",,42.49599,-8.86514
106986,"Redondo, Évora, PT",74,38.649,-7.54365
106987,"Redondo, Évora, PT",83,38.649,-7.54365
106988,"Redondo, Évora, PT",75,38.649,-7.54365
106989,"Redondo, Évora, PT",,38.649,-7.54365
107006,"Faro, Faro, PT",51,37.01935,-7.93043
107007,"Faro, Faro, PT",86,37.01935,-7.93043
107008,"Faro, Faro, PT",68,37.01935,-7.93043
107009,"Faro, Faro, PT",,37.01935,-7.93043
107027,"Malpartida de Cáceres, Cáceres, ES",32,39.4518,-6.4797
107028,"Malpartida de Cáceres, Cáceres, ES",3,39.4518,-6.4797
107029,"Malpartida de Cáceres, Cáceres, ES",81,39.4518,-6.4797
107030,"Malpartida de Cáceres, Cáceres, ES",,39.4518,-6.4797
107048,"Tocha, Cantanhede, Coimbra, PT",,40.32223,-8.77014
107049,"Tocha, Cantanhede, Coimbra, PT",94,40.32223,-8.77014
107050,"Tocha, Cantanhede, Coimbra, PT",171,40.32223,-8.77014
107051,"Tocha, Cantanhede, Coimbra, PT",,40.32223,-8.77014
107052,"Tocha, Cantanhede, Coimbra, PT",,40.32223,-8.77014
107057,"Valencia de Alcántara, Cáceres, ES",98,39.4125,-7.2429
107058,"Valencia de Alcántara, Cáceres, ES",196,39.4125,-7.2429
107059,"Valencia de Alcántara, Cáceres, ES",,39.4125,-7.2429
107060,"Valencia de Alcántara, Cáceres, ES",,39.4125,-7.2429
107070,"Noviercas, Soria, ES",72,41.71161,-2.03344
107071,"Noviercas, Soria, ES",88,41.71161,-2.03344
107072,"Noviercas, Soria, ES",100,41.71161,-2.03344
107073,"Noviercas, Soria, ES",,41.71161,-2.03344
107086,"Fuendetodos, Zaragoza, ES",,41.34334,-0.95936
107087,"Fuendetodos, Zaragoza, ES",,41.34334,-0.95936
107088,"Fuendetodos, Zaragoza, ES",36,41.34334,-0.95936
107089,"Fuendetodos, Zaragoza, ES",,41.34334,-0.95936
107094,"Lleida, Lleida, ES",,41.61758,0.62001
107095,"Lleida, Lleida, ES",62,41.61758,0.62001
107096,"Lleida, Lleida, ES",,41.61758,0.62001
107097,"Lleida, Lleida, ES",50,41.61758,0.62001
107114,"Riudarenes, Girona, ES",123,41.82664,2.71386
107115,"Riudarenes, Girona, ES",76,41.82664,2.71386
107116,"Riudarenes, Girona, ES",,41.82664,2.71386
107117,"Riudarenes, Girona, ES",,41.82664,2.71386
107134,"Montblanc, Hérault, Languedoc-Roussillon, FR",41,43.39706,3.36721
107135,"Montblanc, Hérault, Languedoc-Roussillon, FR",,43.39706,3.36721
107136,"Montblanc, Hérault, Languedoc-Roussillon, FR",,43.39706,3.36721
107137,"Montblanc, Hérault, Languedoc-Roussillon, FR",,43.39706,3.36721
107150,"Valdemanco, Madrid, ES",160,40.87229,-3.66295
107151,"Valdemanco, Madrid, ES",91,40.87229,-3.66295
107152,"Valdemanco, Madrid, ES",,40.87229,-3.66295
107154,"Valflaunes, Hérault, Languedoc-Roussillon, FR",,43.80017,3.87434
107155,"Valflaunes, Hérault, Languedoc-Roussillon, FR",,43.80017,3.87434
107156,"Valflaunes, Hérault, Languedoc-Roussillon, FR",96,43.80017,3.87434
107157,"Valflaunes, Hérault, Languedoc-Roussillon, FR",122,43.80017,3.87434
107175,"Tivissa, Tarragona, ES",117,41.04086,0.73308
107176,"Tivissa, Tarragona, ES",125,41.04086,0.73308
107179,"Tivissa, Tarragona, ES",136,41.04086,0.73308
107180,"Tivissa, Tarragona, ES",,41.04086,0.73308
107190,"Loja, Granada, ES",101,37.16618,-4.14907
107191,"Loja, Granada, ES",79,37.16618,-4.14907
107192,"Loja, Granada, ES",133,37.16618,-4.14907
107447,"Fuendetodos, Zaragoza, ES",136,41.34334,-0.95936
107448,"Fuendetodos, Zaragoza, ES",35,41.34334,-0.95936
107449,"Fuendetodos, Zaragoza, ES",,41.34334,-0.95936
107472,"Montuenga de Soria, Arcos de Jalón, Soria, ES",185,41.22391,-2.21198
107476,"Gárgoles, Cifuentes, Guadalajara, ES",58,40.73233,-2.62575
107481,"Navalmoral de la Mata, Cáceres, ES",,39.89356,-5.53296
107482,"Navalmoral de la Mata, Cáceres, ES",133,39.89356,-5.53296
107483,"Navalmoral de la Mata, Cáceres, ES",47,39.89356,-5.53296
107484,"Navalmoral de la Mata, Cáceres, ES",,39.89356,-5.53296
107491,"Bemposta, Mogadouro, Bragança, PT",20,41.30778,-6.50364
107492,"Bemposta, Mogadouro, Bragança, PT",19,41.30778,-6.50364
107493,"Bemposta, Mogadouro, Bragança, PT",31,41.30778,-6.50364
107494,"Bemposta, Mogadouro, Bragança, PT",188,41.30778,-6.50364
107504,"Pataias, Alcobaça, Leiria, PT",39,39.68321,-9.00184
107513,"Autilla del Pino, Palencia, ES",12,41.99119,-4.63083
107514,"Autilla del Pino, Palencia, ES",52,41.99119,-4.63083
107518,"Autilla del Pino, Palencia, ES",,41.99119,-4.63083
107519,"Autilla del Pino, Palencia, ES",52,41.99119,-4.63083
107535,"Valdunciel, Salamanca, ES",,41.08561,-5.67274
107536,"Valdunciel, Salamanca, ES",,41.08561,-5.67274
107537,"Valdunciel, Salamanca, ES",,41.08561,-5.67274
107538,"Valdunciel, Salamanca, ES",,41.08561,-5.67274
107545,"Valdefinjas, Zamora, ES",,41.45194,-5.45255
107546,"Valdefinjas, Zamora, ES",,41.45194,-5.45255
107547,"Valdefinjas, Zamora, ES",108,41.45194,-5.45255
107548,"Valdefinjas, Zamora, ES",57,41.45194,-5.45255
107565,"Banyeres de Mariola, Alicante, ES",18,38.70338,-0.68679
107566,"Banyeres de Mariola, Alicante, ES",126,38.70338,-0.68679
107567,"Banyeres de Mariola, Alicante, ES",,38.70338,-0.68679
107568,"Banyeres de Mariola, Alicante, ES",,38.70338,-0.68679
107576,"Izagre, León, ES",69,42.22379,-5.25734
107577,"Izagre, León, ES",43,42.22379,-5.25734
107578,"Izagre, León, ES",,42.22379,-5.25734
107585,"Bienservida, Albacete, ES",,38.51707,-2.61086
107586,"Bienservida, Albacete, ES",119,38.51707,-2.61086
107587,"Bienservida, Albacete, ES",65,38.51707,-2.61086
107589,"Bienservida, Albacete, ES",66,38.51707,-2.61086
107595,"Sinarcas, Valencia, ES",55,39.73171,-1.23015
107596,"Sinarcas, Valencia, ES",49,39.73171,-1.23015
107597,"Sinarcas, Valencia, ES",,39.73171,-1.23015
107598,"Sinarcas, Valencia, ES",,39.73171,-1.23015
107615,"Los Palancares, Cuenca, ES",63,40.03127,-2.00559
107616,"Los Palancares, Cuenca, ES",,40.03127,-2.00559
107617,"Los Palancares, Cuenca, ES",98,40.03127,-2.00559
107635,"Cabezarrubias del Puerto, Cuidad Real, ES",6,38.6155,-4.18395
107636,"Cabezarrubias del Puerto, Cuidad Real, ES",3,38.6155,-4.18395
107651,"Arnedo, La Rioja, ES",,42.22567,-2.10207
107652,"Arnedo, La Rioja, ES",,42.22567,-2.10207
107653,"Arnedo, La Rioja, ES",125,42.22567,-2.10207
107655,"Arnedo, La Rioja, ES",64,42.22567,-2.10207
107661,"Cabanillas, Navarra, ES",,42.03221,-1.52449
107662,"Cabanillas, Navarra, ES",,42.03221,-1.52449
107663,"Cabanillas, Navarra, ES",193,42.03221,-1.52449
107664,"Cabanillas, Navarra, ES",161,42.03221,-1.52449
107681,"Plage Biscarrose, Landes, Aquitaine, FR",,44.44636,-1.24655
107682,"Plage Biscarrose, Landes, Aquitaine, FR",80,44.44636,-1.24655
107683,"Plage Biscarrose, Landes, Aquitaine, FR",52,44.44636,-1.24655
107684,"Plage Biscarrose, Landes, Aquitaine, FR",47,44.44636,-1.24655
107703,"Villamayor de los Montes, Burgos, ES",84,42.10615,-3.76573
