id,locality,lat,long
1,"Cuchía, Cantabria, Spain",43.431,−4.029
2,"Segonnes, Nouvelle‐Aquitaine, France",44.957,−0.750
3,"Villaviciosa, Asturias, Spain",43.523,−5.380
4,"Embalse de Cecebre, A Coruña, Spain",43.275,−8.282
5,"Larués, Huesca, Spain",42.517,−0.848
6,"Valgañón, La Rioja, Spain",42.327,−3.089
7,"Cernégula, Burgos, Spain",42.639,−3.624
8,"Ruesga, Palencia, Spain",42.883,−4.548
9,"Puerto de Urbasa, Navarra, Spain",42.797,−2.172
10,"Puerto de la Cubilla, León, Spain",42.99,−5.926
11,"Albires, León, Spain",42.276,−5.280
12,"Ólvega, Soria, Spain",41.752,−1.962
13,"Renales‐Laranueva, Guadalajara, Spain",40.934,−2.540
14,"Codesal, Zamora, Spain",41.972,−6.387
15,"Buenache de la Sierra, Cuenca, Spain",40.179,−1.943
16,"Valdemanco, Madrid, Spain",40.853,−3.644
17,"Boceguillas, Segovia, Spain",41.33,−3.618
18,"Colmenar Viejo, Madrid, Spain",40.687,−3.830
19,"Torrecaballeros, Segovia, Spain",41.004,−4.018
20,"Fuenterrebollo, Segovia, Spain",41.326,−3.926
21,"Peñalara, Madrid, Spain",40.848,−3.949
22,"Candeleda, Ávila, Spain",40.126,−5.221
23,"Ferreras de Arriba‐Villardeciervos, Zamora, Spain",41.904,−6.229
24,"El Puerto, Asturias, Spain",43.024,−6.229
25,"Monforte de Lemos, Lugo, Spain",42.529,−7.575
26,"Ginzo de Limia, Ourense, Spain",42.054,−7.821
27,"Boticas, Vila Real, Portugal",41.689,−7.665
28,"Serra da Estrela, Guarda, Portugal",40.342,−7.622
29,"Paramos, Aveiro, Portugal",40.98,−8.645
30,"Mindelo, Porto, Portugal",41.305,−8.723
31,"Ciudad Rodrigo, Salamanca, Spain",40.569,−6.576
32,"Lavariz, 7.5 km NW of Arzila, Coimbra, Portugal",40.196,−8.642
33,"Longueira, Beja, Portugal",37.672,−8.777
34,"7 km NW of São José da Lamarosa, Santarém, Portugal",39.125,−8.513
35,"Serra de Montejunto, Lisboa, Portugal",39.174,−9.018
36,"Torrefresneda, Badajoz, Spain",38.992,−6.096
37,"Valle de Santiago, Cabañeros, Ciudad Real, Spain",39.347,−4.401
38,"Castelo de Vide, Portalegre, Portugal",39.415,−7.457
39,"Navas de Estena, Ciudad Real, Spain",39.497,−4.541
40,"Fontanosas, Ciudad Real, Spain",38.805,−4.572
41,"Río Montoro, N of Fuencaliente, Ciudad Real, Spain",38.498,−4.291
42,"Los Baños de Robledillo, Toledo, Spain",39.497,−4.358
43,"Valdeazores, Ciudad Real, Spain",39.314,−4.720
44,"Ojos de Villaverde, Albacete, Spain",38.806,−2.369
45,"Saceruela‐Valdemanco del Esteras, Ciudad Real, Spain",38.951,−4.652
46,"Coruche, Santarém, Portugal",38.999,−8.519
47,"Lourinhã, Lisboa, Portugal",39.279,−9.275
48,"Beira, N of Marvão, Portalegre, Portugal",39.451,−7.360
49,"Monte Claro, Portalegre, Portugal",39.532,−7.720
50,"Pombal, Leiria, Portugal",39.994,−8.683
51,"Alfarelos, Coimbra, Portugal",40.158,−8.667
52,"Cadalso de los Vidrios, Madrid, Spain",40.317,−4.381
53,"El Tiemblo, Ávila, Spain",40.411,−4.468
54,"El Hoyo de Pinares, Ávila, Spain",40.486,−4.390
55,"Serradilla del Llano, Salamanca, Spain",40.5,−6.350
56,"Cerceda, Madrid, Spain",40.719,−3.956
57,"Guadalix de la Sierra, Madrid, Spain",40.756,−3.676
58,"Trancoso, Guarda, Portugal",40.826,−7.358
59,"Puerto de Canencia, Madrid, Spain",40.871,−3.757
60,"La Mierla, Guadalajara, Spain",40.923,−3.261
61,"Salamanca, Salamanca, Spain",40.93,−5.670
62,"El Berrueco, Madrid, Spain",40.932,−3.569
